frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
0,busca,SEARCHING,0,980,0,0,229,626,124,0,0,320,240,0,0.0000,0.480,-0.480
1,busca,SEARCHING,0,993,0,0,188,679,125,0,0,320,240,0,0.0000,0.480,-0.480
2,busca,SEARCHING,0,848,0,0,165,575,108,0,0,320,240,0,0.0000,0.480,-0.480
3,busca,SEARCHING,0,844,0,0,164,570,109,0,0,320,240,0,0.0000,0.480,-0.480
4,busca,SEARCHING,0,784,0,0,151,533,100,0,0,320,240,0,0.0000,0.480,-0.480
5,busca,SEARCHING,0,730,0,0,139,497,93,1,0,320,240,0,0.0000,0.480,-0.480
6,busca,SEARCHING,0,730,0,0,139,493,98,0,0,320,240,0,0.0000,0.480,-0.480
7,busca,SEARCHING,0,730,0,0,138,498,94,0,0,320,240,0,0.0000,0.480,-0.480
8,busca,SEARCHING,0,833,0,0,152,573,108,0,0,320,240,0,0.0000,0.480,-0.480
9,busca,SEARCHING,0,793,0,0,159,533,100,0,0,320,240,0,0.0000,0.480,-0.480
10,busca,SEARCHING,0,728,0,0,139,494,94,0,0,320,240,0,0.0000,0.480,-0.480
11,busca,SEARCHING,0,736,0,0,146,496,93,0,0,320,240,0,0.0000,0.480,-0.480
12,busca,SEARCHING,0,745,0,0,138,513,94,0,0,320,240,0,0.0000,0.480,-0.480
13,busca,SEARCHING,0,731,0,0,138,494,97,0,1,320,240,0,0.0000,0.480,-0.480
14,busca,SEARCHING,0,731,0,0,143,494,94,0,0,320,240,0,0.0000,0.480,-0.480
15,busca,SEARCHING,0,733,0,0,139,500,94,0,0,320,240,0,0.0000,0.480,-0.480
16,busca,SEARCHING,0,716,0,0,130,486,99,0,0,320,240,0,0.0000,0.480,-0.480
17,busca,SEARCHING,0,781,0,0,149,530,100,0,1,320,240,0,0.0000,0.480,-0.480
18,busca,SEARCHING,0,850,0,0,166,570,114,0,0,320,240,0,0.0000,0.480,-0.480
19,busca,SEARCHING,0,837,0,0,164,572,101,0,0,320,240,0,0.0000,0.480,-0.480
20,busca,SEARCHING,0,730,0,0,138,498,94,0,0,320,240,0,0.0000,0.480,-0.480
21,busca,SEARCHING,0,681,0,0,130,463,88,0,0,320,240,0,0.0000,0.480,-0.480
22,busca,SEARCHING,0,688,0,0,136,465,87,0,0,320,240,0,0.0000,0.480,-0.480
23,busca,SEARCHING,0,644,0,0,122,436,86,0,0,320,240,0,0.0000,0.480,-0.480
24,busca,SEARCHING,0,647,0,0,127,436,83,0,0,320,240,0,0.0000,0.480,-0.480
25,busca,SEARCHING,0,647,0,0,122,435,89,0,0,320,240,0,0.0000,0.480,-0.480
26,busca,SEARCHING,0,614,0,0,116,420,78,0,0,320,240,0,0.0000,0.480,-0.480
27,busca,SEARCHING,0,616,0,0,115,418,82,1,0,320,240,0,0.0000,0.480,-0.480
28,busca,SEARCHING,0,689,0,0,130,471,88,0,0,320,240,0,0.0000,0.480,-0.480
29,busca,SEARCHING,0,661,0,0,130,448,82,0,1,320,240,0,0.0000,0.480,-0.480
30,busca,SEARCHING,0,645,0,0,122,440,82,0,1,320,240,0,0.0000,0.480,-0.480
31,busca,SEARCHING,0,612,0,0,115,412,85,0,0,320,240,0,0.0000,0.480,-0.480
32,busca,SEARCHING,0,610,0,0,116,416,78,0,0,320,240,0,0.0000,0.480,-0.480
33,busca,SEARCHING,0,574,0,0,110,390,74,0,0,320,240,0,0.0000,0.480,-0.480
34,busca,SEARCHING,0,576,0,0,109,393,74,0,0,320,240,0,0.0000,0.480,-0.480
35,busca,SEARCHING,0,577,0,0,109,394,74,0,0,320,240,0,0.0000,0.480,-0.480
36,busca,SEARCHING,0,568,0,0,109,389,70,0,0,320,240,0,0.0000,0.480,-0.480
37,busca,SEARCHING,0,545,0,0,104,370,71,0,0,320,240,0,0.0000,0.480,-0.480
38,busca,SEARCHING,0,548,0,0,104,374,70,0,0,320,240,0,0.0000,0.480,-0.480
39,busca,SEARCHING,0,553,0,0,112,370,71,0,0,320,240,0,0.0000,0.480,-0.480
40,busca,SEARCHING,0,552,0,0,106,372,74,0,0,320,240,0,0.0000,0.480,-0.480
41,busca,SEARCHING,0,610,0,0,115,417,78,0,0,320,240,0,0.0000,0.480,-0.480
42,busca,SEARCHING,0,582,0,0,117,390,74,0,0,320,240,0,0.0000,0.480,-0.480
43,busca,SEARCHING,0,573,0,0,109,390,74,0,0,320,240,0,0.0000,0.480,-0.480
44,busca,SEARCHING,0,576,0,0,109,393,73,0,0,320,240,0,0.0000,0.480,-0.480
45,busca,SEARCHING,0,548,0,0,107,371,70,0,0,320,240,0,0.0000,0.480,-0.480
46,busca,SEARCHING,0,537,0,0,104,366,67,0,0,320,240,0,0.0000,0.480,-0.480
47,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
48,busca,SEARCHING,0,521,0,0,99,355,67,0,0,320,240,0,0.0000,0.480,-0.480
49,busca,SEARCHING,0,521,0,0,99,355,67,0,0,320,240,0,0.0000,0.480,-0.480
50,busca,SEARCHING,0,533,0,0,113,353,67,0,0,320,240,0,0.0000,0.480,-0.480
51,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
52,busca,SEARCHING,0,522,0,0,99,356,67,0,0,320,240,0,0.0000,0.480,-0.480
53,busca,SEARCHING,0,523,0,0,98,357,67,0,0,320,240,0,0.0000,0.480,-0.480
54,busca,SEARCHING,0,522,0,0,99,356,66,1,0,320,240,0,0.0000,0.480,-0.480
55,busca,SEARCHING,0,519,0,0,99,352,67,0,1,320,240,0,0.0000,0.480,-0.480
56,busca,SEARCHING,0,518,0,0,98,353,67,0,0,320,240,0,0.0000,0.480,-0.480
57,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
58,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
59,busca,SEARCHING,0,498,0,0,94,340,64,0,0,320,240,0,0.0000,0.480,-0.480
60,busca,SEARCHING,0,497,0,0,95,338,64,0,0,320,240,0,0.0000,0.480,-0.480
61,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
62,busca,SEARCHING,0,495,0,0,94,336,63,0,0,320,240,0,0.0000,0.480,-0.480
63,busca,SEARCHING,0,495,0,0,94,336,63,0,0,320,240,0,0.0000,0.480,-0.480
64,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
65,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
66,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
67,busca,SEARCHING,0,495,0,0,91,339,64,0,0,320,240,0,0.0000,0.480,-0.480
68,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
69,busca,SEARCHING,0,496,0,0,94,338,64,0,0,320,240,0,0.0000,0.480,-0.480
70,busca,SEARCHING,0,496,0,0,95,337,63,1,0,320,240,0,0.0000,0.480,-0.480
71,busca,SEARCHING,0,520,0,0,97,352,70,0,0,320,240,0,0.0000,0.480,-0.480
72,busca,SEARCHING,0,522,0,0,99,356,67,0,0,320,240,0,0.0000,0.480,-0.480
73,busca,SEARCHING,0,521,0,0,101,353,67,0,0,320,240,0,0.0000,0.480,-0.480
74,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
75,busca,SEARCHING,0,495,0,0,95,336,64,0,0,320,240,0,0.0000,0.480,-0.480
76,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
77,busca,SEARCHING,0,498,0,0,95,339,63,0,1,320,240,0,0.0000,0.480,-0.480
78,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
79,busca,SEARCHING,0,497,0,0,95,338,64,0,0,320,240,0,0.0000,0.480,-0.480
80,busca,SEARCHING,0,495,0,0,94,337,63,0,1,320,240,0,0.0000,0.480,-0.480
81,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
82,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
83,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
84,busca,SEARCHING,0,498,0,0,95,339,64,0,0,320,240,0,0.0000,0.480,-0.480
85,busca,SEARCHING,0,497,0,0,95,338,64,0,0,320,240,0,0.0000,0.480,-0.480
86,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
87,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
88,busca,SEARCHING,0,495,0,0,95,336,63,0,0,320,240,0,0.0000,0.480,-0.480
89,busca,SEARCHING,0,495,0,0,94,337,63,0,1,320,240,0,0.0000,0.480,-0.480
90,busca,SEARCHING,0,495,0,0,94,337,63,0,0,320,240,0,0.0000,0.480,-0.480
91,busca,SEARCHING,0,500,0,0,95,340,63,0,0,320,240,0,0.0000,0.480,-0.480
92,busca,SEARCHING,0,498,0,0,94,339,63,0,0,320,240,0,0.0000,0.480,-0.480
93,busca,SEARCHING,0,521,0,0,102,352,67,0,0,320,240,0,0.0000,0.480,-0.480
94,busca,SEARCHING,0,519,0,0,99,352,67,0,1,320,240,0,0.0000,0.480,-0.480
95,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
96,busca,SEARCHING,0,522,0,0,98,353,71,0,0,320,240,0,0.0000,0.480,-0.480
97,busca,SEARCHING,0,522,0,0,99,356,67,0,0,320,240,0,0.0000,0.480,-0.480
98,busca,SEARCHING,0,521,0,0,101,353,67,0,0,320,240,0,0.0000,0.480,-0.480
99,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
100,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
101,busca,SEARCHING,0,499,0,0,96,336,66,0,0,320,240,0,0.0000,0.480,-0.480
102,busca,SEARCHING,0,497,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
103,busca,SEARCHING,0,498,0,0,94,339,64,0,0,320,240,0,0.0000,0.480,-0.480
104,busca,SEARCHING,0,497,0,0,97,336,64,0,0,320,240,0,0.0000,0.480,-0.480
105,busca,SEARCHING,0,495,0,0,94,337,64,0,0,320,240,0,0.0000,0.480,-0.480
106,busca,SEARCHING,0,496,0,0,94,338,64,0,0,320,240,0,0.0000,0.480,-0.480
