frame,t_s,estado,detectado,alvo_x,alvo_y,area,erro,roi_w,roi_h,cmd_l,cmd_r,borda,borda_esq,borda_centro,borda_dir,visao_us,fps
1,0.029,TRACKING,1,149,228,175,-0.0688,320,240,0.494,0.632,0,0,0,0,5438,3.4
2,0.061,TRACKING,1,150,228,187,-0.0625,112,69,0.504,0.629,0,0,0,0,549,6.2
3,0.097,COASTING,0,150,228,0,-0.0625,112,69,0.504,0.629,0,0,0,0,538,8.4
4,0.129,COASTING,0,150,228,0,-0.0625,320,240,0.504,0.629,0,0,0,0,5201,10.6
5,0.161,COASTING,0,150,228,0,-0.0625,320,240,0.504,0.629,0,0,0,0,5599,12.7
6,0.197,COASTING,0,150,228,0,-0.0625,320,240,0.504,0.629,0,0,0,0,5317,14.2
7,0.229,COASTING,0,150,228,0,-0.0625,320,240,0.504,0.629,0,0,0,0,5177,15.9
8,0.261,COASTING,0,150,228,0,-0.0625,320,240,0.504,0.629,0,0,0,0,5205,17.5
9,0.297,COASTING,0,151,228,0,-0.0562,320,240,0.513,0.626,0,0,0,0,5262,18.5
10,0.329,COASTING,0,151,228,0,-0.0562,320,240,0.513,0.626,0,0,0,0,5161,19.8
11,0.361,COASTING,0,151,228,0,-0.0562,320,240,0.513,0.626,0,0,0,0,5212,20.9
12,0.397,COASTING,0,151,228,0,-0.0562,320,240,0.513,0.626,0,0,0,0,5256,21.6
13,0.429,COASTING,0,151,228,0,-0.0562,320,240,0.513,0.626,0,0,0,0,5170,22.6
14,0.461,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,5135,23.4
15,0.497,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,5192,23.9
16,0.529,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,5186,24.6
17,0.561,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,5161,25.3
18,0.597,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,5143,25.5
19,0.629,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8918,26.1
20,0.661,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8961,26.6
21,0.697,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8950,26.7
22,0.729,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7809,27.2
23,0.761,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7828,27.6
24,0.797,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7835,27.6
25,0.829,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7851,28.0
26,0.861,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7839,28.3
27,0.897,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7808,28.2
28,0.929,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7754,28.5
29,0.961,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7841,28.8
30,0.997,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7767,28.7
31,1.029,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7788,29.0
32,1.061,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7754,29.2
33,1.097,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7887,29.1
34,1.129,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7892,29.3
35,1.161,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7800,29.5
36,1.197,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8238,29.3
37,1.229,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8491,29.5
38,1.261,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8293,29.7
39,1.297,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7803,29.5
40,1.329,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7829,29.7
41,1.361,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7840,29.8
42,1.397,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7826,29.6
43,1.429,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7861,29.8
44,1.461,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7755,29.9
45,1.497,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7820,29.7
46,1.529,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,9007,29.9
47,1.561,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8989,30.0
48,1.597,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8893,29.8
49,1.629,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7957,29.9
50,1.661,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7831,30.1
51,1.697,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7790,29.8
52,1.729,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7791,30.0
53,1.761,TRACKING,1,144,232,155,-0.1000,320,240,0.446,0.646,0,0,0,0,7955,30.1
54,1.797,TRACKING,1,145,231,162,-0.0938,112,64,0.456,0.643,0,0,0,0,765,29.9
55,1.829,TRACKING,1,143,229,189,-0.1063,112,63,0.436,0.649,0,0,0,0,767,30.0
56,1.861,TRACKING,1,140,225,159,-0.1250,112,67,0.408,0.658,0,0,0,0,919,30.1
57,1.897,TRACKING,1,137,219,152,-0.1437,112,72,0.379,0.666,0,0,0,0,966,29.9
58,1.929,COASTING,0,136,217,0,-0.1500,112,78,0.369,0.669,0,0,0,0,1169,30.0
59,1.961,COASTING,0,135,215,0,-0.1562,320,240,0.359,0.672,0,0,0,0,10444,30.1
60,1.997,TRACKING,1,129,205,156,-0.1937,320,240,0.302,0.689,0,0,0,0,10384,29.9
61,2.029,TRACKING,1,125,200,165,-0.2188,112,88,0.263,0.701,0,0,0,0,1372,30.0
62,2.061,TRACKING,1,124,196,167,-0.2250,112,91,0.254,0.704,0,0,0,0,1233,30.2
63,2.097,COASTING,0,121,192,0,-0.2438,112,95,0.225,0.712,0,0,0,0,1280,29.9
64,2.129,COASTING,0,119,189,0,-0.2562,320,240,0.205,0.718,0,0,0,0,9074,30.1
65,2.161,COASTING,0,117,185,0,-0.2688,320,240,0.186,0.724,0,0,0,0,9031,30.2
66,2.197,COASTING,0,115,182,0,-0.2812,320,240,0.167,0.729,0,0,0,0,8885,29.9
67,2.229,COASTING,0,113,178,0,-0.2937,320,240,0.148,0.735,0,0,0,0,8397,30.1
68,2.261,COASTING,0,110,175,0,-0.3125,320,240,0.119,0.744,0,0,0,0,7896,30.2
69,2.297,COASTING,0,108,171,0,-0.3250,320,240,0.100,0.750,0,0,0,0,8576,29.9
70,2.329,COASTING,0,106,167,0,-0.3375,320,240,0.080,0.755,0,0,0,0,7814,30.1
71,2.361,COASTING,0,104,164,0,-0.3500,320,240,0.061,0.761,0,0,0,0,6928,30.2
72,2.397,COASTING,0,101,160,0,-0.3688,320,240,0.032,0.770,0,0,0,0,6941,30.0
73,2.429,COASTING,0,99,156,0,-0.3812,320,240,0.013,0.775,0,0,0,0,7893,30.1
74,2.461,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,9014,30.2
75,2.497,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8937,30.0
76,2.529,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,9134,30.1
77,2.561,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7769,30.2
78,2.597,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7806,30.0
79,2.629,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7772,30.1
80,2.661,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7785,30.2
81,2.697,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7792,30.0
82,2.729,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7802,30.1
83,2.761,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7905,30.2
84,2.797,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7905,30.0
85,2.829,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7876,30.1
86,2.861,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7876,30.2
87,2.897,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7811,30.0
88,2.929,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7798,30.1
89,2.961,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7797,30.2
90,2.997,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7761,30.0
91,3.029,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7774,30.1
92,3.061,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8959,30.2
93,3.097,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,9202,30.0
94,3.129,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8966,30.1
95,3.161,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7841,30.2
96,3.197,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7822,30.0
97,3.229,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7820,30.1
98,3.261,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7780,30.2
99,3.297,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7828,30.0
100,3.329,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7860,30.1
101,3.362,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,8330,30.2
102,3.397,TRACKING,1,177,119,232,0.1063,320,240,0.649,0.436,0,0,0,0,8104,30.0
103,3.429,TRACKING,1,177,119,231,0.1063,118,112,0.649,0.436,0,0,0,0,1416,30.1
104,3.461,COASTING,0,177,119,0,0.1063,116,115,0.649,0.436,0,0,0,0,1405,30.2
105,3.497,COASTING,0,177,119,0,0.1063,320,240,0.649,0.436,0,0,0,0,7882,30.0
106,3.529,COASTING,0,177,119,0,0.1063,320,240,0.649,0.436,0,0,0,0,7776,30.1
107,3.561,COASTING,0,177,119,0,0.1063,320,240,0.649,0.436,0,0,0,0,8922,30.2
108,3.597,COASTING,0,177,119,0,0.1063,320,240,0.649,0.436,0,0,0,0,8993,30.0
109,3.629,COASTING,0,177,119,0,0.1063,320,240,0.649,0.436,0,0,0,0,8937,30.1
110,3.661,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,7776,30.2
111,3.697,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,7795,30.0
112,3.729,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,7803,30.1
113,3.761,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,8976,30.2
114,3.797,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,9143,30.0
115,3.829,COASTING,0,177,120,0,0.1063,320,240,0.649,0.436,0,0,0,0,8922,30.1
116,3.861,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7906,30.2
117,3.897,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7932,30.0
118,3.929,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7780,30.1
119,3.961,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7882,30.2
120,3.997,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7804,30.0
121,4.029,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7804,30.1
122,4.061,SEARCHING,0,0,0,0,0.0000,320,240,0.350,-0.350,0,0,0,0,7773,30.2
