frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
0,busca,SEARCHING,0,7206,0,0,2287,4244,670,0,1,320,240,0,0.0000,0.480,-0.480
1,busca,SEARCHING,0,6953,0,0,2068,4213,663,0,2,320,240,0,0.0000,0.480,-0.480
2,busca,SEARCHING,0,6925,0,0,2072,4157,689,1,1,320,240,0,0.0000,0.480,-0.480
3,busca,SEARCHING,0,6874,0,0,2044,4154,671,1,1,320,240,0,0.0000,0.480,-0.480
4,busca,SEARCHING,0,6807,0,0,2079,4335,389,1,1,320,240,0,0.0000,0.480,-0.480
5,busca,SEARCHING,0,3454,0,0,1052,2068,330,1,1,320,240,0,0.0000,0.480,-0.480
6,busca,SEARCHING,0,3459,0,0,1009,2117,329,0,1,320,240,0,0.0000,0.480,-0.480
7,busca,SEARCHING,0,3438,0,0,996,2062,378,0,1,320,240,0,0.0000,0.480,-0.480
8,busca,SEARCHING,0,3463,0,0,998,2130,332,0,1,320,240,0,0.0000,0.480,-0.480
9,busca,SEARCHING,0,3405,0,0,993,2064,343,0,1,320,240,0,0.0000,0.480,-0.480
10,busca,SEARCHING,0,3445,0,0,1001,2108,334,0,1,320,240,0,0.0000,0.480,-0.480
11,busca,SEARCHING,0,3423,0,0,1028,2060,333,0,1,320,240,0,0.0000,0.480,-0.480
12,busca,SEARCHING,0,3437,0,0,1000,2103,331,0,1,320,240,0,0.0000,0.480,-0.480
13,busca,SEARCHING,0,3460,0,0,1047,2080,328,0,1,320,240,0,0.0000,0.480,-0.480
14,busca,SEARCHING,0,3447,0,0,1008,2086,351,0,0,320,240,0,0.0000,0.480,-0.480
15,busca,SEARCHING,0,3426,0,0,1010,2068,345,0,0,320,240,0,0.0000,0.480,-0.480
16,busca,SEARCHING,0,3416,0,0,989,2095,329,0,1,320,240,0,0.0000,0.480,-0.480
17,busca,SEARCHING,0,3411,0,0,1030,2050,327,1,1,320,240,0,0.0000,0.480,-0.480
18,busca,SEARCHING,0,3439,0,0,1001,2104,330,0,1,320,240,0,0.0000,0.480,-0.480
19,busca,SEARCHING,0,3433,0,0,1026,2071,332,0,1,320,240,0,0.0000,0.480,-0.480
20,busca,SEARCHING,0,3429,0,0,1006,2086,335,0,1,320,240,0,0.0000,0.480,-0.480
21,busca,SEARCHING,0,3458,0,0,1045,2068,341,0,1,320,240,0,0.0000,0.480,-0.480
22,busca,SEARCHING,0,3433,0,0,1004,2095,331,0,0,320,240,0,0.0000,0.480,-0.480
23,busca,SEARCHING,0,3436,0,0,1005,2098,329,1,0,320,240,0,0.0000,0.480,-0.480
24,busca,SEARCHING,0,3458,0,0,1003,2122,330,0,1,320,240,0,0.0000,0.480,-0.480
25,busca,SEARCHING,0,3431,0,0,1023,2072,332,1,0,320,240,0,0.0000,0.480,-0.480
26,busca,SEARCHING,0,3431,0,0,1003,2090,331,1,0,320,240,0,0.0000,0.480,-0.480
27,busca,SEARCHING,0,3428,0,0,991,2102,329,1,2,320,240,0,0.0000,0.480,-0.480
