t_s,temp_c,freq_mhz,volts_core,throttled,load1,mem_free_mb
1,54.8,800,1.3250,0x0,0.14,548
2,54.8,1200,1.3250,0x0,0.13,547
3,54.8,1200,1.3250,0x0,0.13,547
4,54.8,1200,1.3250,0x0,0.13,547
5,54.8,1200,1.3250,0x0,0.13,547
6,54.8,600,1.3250,0x0,0.13,546
7,54.8,700,1.3250,0x0,0.20,546
8,54.8,600,1.3250,0x0,0.20,545
9,54.8,600,1.3250,0x0,0.20,546
10,54.2,600,1.3250,0x0,0.20,546
11,54.2,600,1.3250,0x0,0.18,546
12,54.8,600,1.3250,0x0,0.18,546
13,53.7,700,1.3250,0x0,0.18,546
14,54.2,600,1.3250,0x0,0.18,547
15,54.8,600,1.3250,0x0,0.18,547
17,54.8,600,1.3250,0x0,0.17,547
18,54.8,600,1.3250,0x0,0.17,547
19,54.2,600,1.3250,0x0,0.17,547
20,54.8,600,1.3250,0x0,0.17,547
21,54.8,1200,1.3250,0x0,0.24,547
22,55.3,1200,1.3250,0x0,0.24,546
23,55.8,1200,1.3250,0x0,0.24,547
24,55.8,1200,1.3250,0x0,0.24,547
25,56.9,1200,1.3250,0x0,0.24,547
26,56.9,1200,1.3250,0x0,0.30,546
27,56.9,1200,1.3250,0x0,0.30,546
28,56.9,1200,1.3250,0x0,0.30,546
29,56.9,1200,1.3250,0x0,0.30,546
30,56.9,1200,1.3250,0x0,0.30,546
31,56.9,1200,1.3250,0x0,0.35,546
32,57.5,1200,1.3250,0x0,0.35,546
33,58.0,1200,1.3250,0x0,0.35,546
35,58.0,1200,1.3250,0x0,0.35,545
36,58.0,1200,1.3250,0x0,0.35,545
37,56.9,1200,1.3250,0x0,0.41,545
38,58.0,1200,1.3250,0x0,0.41,545
39,56.9,1200,1.3250,0x0,0.41,545
40,58.0,1200,1.3250,0x0,0.41,545
41,58.0,1200,1.3250,0x0,0.45,545
42,58.0,1200,1.3250,0x0,0.45,545
43,58.0,1200,1.3250,0x0,0.45,545
44,58.0,1200,1.3250,0x0,0.45,545
45,58.0,1200,1.3250,0x0,0.45,546
46,58.0,1200,1.3250,0x0,0.50,546
47,59.1,1200,1.3250,0x0,0.50,545
48,58.0,1200,1.3250,0x0,0.50,545
49,58.5,1200,1.3250,0x0,0.50,545
50,58.0,1200,1.3250,0x0,0.50,546
51,58.5,1200,1.3250,0x0,0.54,546
52,59.1,1200,1.3250,0x0,0.54,546
53,59.1,1200,1.3250,0x0,0.54,545
55,59.1,1200,1.3250,0x0,0.54,545
56,59.1,1200,1.3250,0x0,0.54,545
57,59.1,1200,1.3250,0x0,0.58,545
58,59.1,1200,1.3250,0x0,0.58,545
59,59.1,1200,1.3250,0x0,0.58,545
60,58.5,1200,1.3250,0x0,0.58,545
61,59.1,1200,1.3250,0x0,0.61,545
62,59.1,1200,1.3250,0x0,0.61,545
63,59.1,1200,1.3250,0x0,0.61,545
64,59.1,1200,1.3250,0x0,0.61,545
65,59.6,1200,1.3250,0x0,0.61,545
66,59.6,1200,1.3250,0x0,0.64,545
67,59.1,1200,1.3250,0x0,0.64,545
68,59.1,1200,1.3250,0x0,0.64,545
69,60.1,1200,1.3250,0x0,0.64,545
70,59.1,1200,1.3250,0x0,0.64,544
71,59.1,1200,1.3250,0x0,0.67,545
72,60.1,1200,1.3250,0x0,0.67,545
74,60.1,1200,1.3250,0x0,0.67,545
75,59.6,1200,1.3250,0x0,0.67,546
76,59.1,1200,1.3250,0x0,0.67,545
77,60.1,1200,1.3250,0x0,0.70,545
78,60.1,1200,1.3250,0x0,0.70,545
79,60.1,1200,1.3250,0x0,0.70,546
80,60.1,1200,1.3250,0x0,0.70,545
81,60.1,1200,1.3250,0x0,0.72,545
82,60.1,1200,1.3250,0x0,0.72,545
83,60.1,1200,1.3250,0x0,0.72,546
84,60.7,1200,1.3250,0x0,0.72,546
85,60.1,1200,1.3250,0x0,0.72,546
86,60.1,1200,1.3250,0x0,0.74,547
87,60.1,1200,1.3250,0x0,0.74,547
